Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
2. Esbjerg Rådhus;A;Socialdemokratiet;Listestemmer;548
2. Esbjerg Rådhus;A;Socialdemokratiet;John Snedker, Esbjerg;660
2. Esbjerg Rådhus;A;Socialdemokratiet;Mussa Utto, Esbjerg;46
2. Esbjerg Rådhus;A;Socialdemokratiet;Peter Amstrup, Esbjerg;25
2. Esbjerg Rådhus;A;Socialdemokratiet;Connie Geissler, Esbjerg;77
2. Esbjerg Rådhus;A;Socialdemokratiet;Poul-Erik Hansen, Esbjerg;35
2. Esbjerg Rådhus;A;Socialdemokratiet;Tine Kjær Dideriksen, Esbjerg;22
2. Esbjerg Rådhus;A;Socialdemokratiet;Hans Erik Møller, Esbjerg;48
2. Esbjerg Rådhus;A;Socialdemokratiet;Søren Heide Lambertsen, Esbjerg;45
2. Esbjerg Rådhus;A;Socialdemokratiet;John M. Schmidt, Esbjerg;25
2. Esbjerg Rådhus;A;Socialdemokratiet;Ulla Koman, Bramming;6
2. Esbjerg Rådhus;A;Socialdemokratiet;Laust Poulsen, Esbjerg;32
2. Esbjerg Rådhus;A;Socialdemokratiet;Jørgen Ahlquist, Ribe;15
2. Esbjerg Rådhus;A;Socialdemokratiet;Karen Sandrini, Ribe;5
2. Esbjerg Rådhus;A;Socialdemokratiet;Rasmus Rasmussen, Esbjerg;49
2. Esbjerg Rådhus;A;Socialdemokratiet;Michael Harbøll, Esbjerg;43
2. Esbjerg Rådhus;A;Socialdemokratiet;Nini Oken, Ribe;27
2. Esbjerg Rådhus;A;Socialdemokratiet;Kim Eskesen, Vejrup;17
2. Esbjerg Rådhus;A;Socialdemokratiet;Lene Rahbek Jensen, Esbjerg;3
2. Esbjerg Rådhus;A;Socialdemokratiet;Vivi S. S. Lindblad, Ribe;7
2. Esbjerg Rådhus;A;Socialdemokratiet;Elsemarie Lauvring, Esbjerg;18
2. Esbjerg Rådhus;A;Socialdemokratiet;Rudi Dideriksen, Esbjerg;7
2. Esbjerg Rådhus;A;Socialdemokratiet;Kenn Schell Andersen, Esbjerg;16
2. Esbjerg Rådhus;B;Radikale Venstre;Listestemmer;89
2. Esbjerg Rådhus;B;Radikale Venstre;Anne Marie Geisler Andersen, Esbje;171
2. Esbjerg Rådhus;B;Radikale Venstre;Gitte Reimer, Ribe;5
2. Esbjerg Rådhus;B;Radikale Venstre;Cornelius Sode, Esbjerg;16
2. Esbjerg Rådhus;B;Radikale Venstre;Viktor Jørgensen, Bramming;8
2. Esbjerg Rådhus;B;Radikale Venstre;Hans Bitsch-Larsen, Ribe;3
2. Esbjerg Rådhus;B;Radikale Venstre;Oluf Dragsbo, Esbjerg;5
2. Esbjerg Rådhus;B;Radikale Venstre;Tim Rørstrøm, Esbjerg;8
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Listestemmer;63
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;May-Britt Andrea Andersen, Ribe;55
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Anna-Marie Bloch Münster, Esbjerg;38
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Peder Tørnqvist, Ribe;5
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Dino Selimovic, Esbjerg;47
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Danni Petræus, Ribe;7
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Rasmus Sømod, Grimstrup;4
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Helle Glass, Esbjerg;22
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Niels Jørgen Amorsen, Vejrup;0
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Silas Thánh Haltrup Rasmussen, St.;10
2. Esbjerg Rådhus;C;Det Konservative Folkeparti;Margrethe Skovgaard, Esbjerg N;4
2. Esbjerg Rådhus;D;Nye Borgerlige;Listestemmer;32
2. Esbjerg Rådhus;D;Nye Borgerlige;Maiken Huglstad Pedersen, Esbjerg;22
2. Esbjerg Rådhus;D;Nye Borgerlige;Stephan Klindtworth Clausen, Esbje;10
2. Esbjerg Rådhus;D;Nye Borgerlige;Torben Kaas Drøgemüller, Bramming;2
2. Esbjerg Rådhus;D;Nye Borgerlige;Sven Nielsen, Andrup;0
2. Esbjerg Rådhus;D;Nye Borgerlige;Johnny Boalth Lambertsen, Esbjerg;3
2. Esbjerg Rådhus;E;Borgerlisten;Listestemmer;25
2. Esbjerg Rådhus;E;Borgerlisten;Henrik Vallø, Esbjerg;316
2. Esbjerg Rådhus;E;Borgerlisten;Maria Høj Pedersen, Esbjerg V;26
2. Esbjerg Rådhus;E;Borgerlisten;Jørgen Søgaard Madsen, Bramming;4
2. Esbjerg Rådhus;E;Borgerlisten;Erik Falk Svendsen, Esbjerg;21
2. Esbjerg Rådhus;E;Borgerlisten;Kim Nielsen, Roager;4
2. Esbjerg Rådhus;E;Borgerlisten;Anne-Margrethe Hansen, St. Darum;0
2. Esbjerg Rådhus;E;Borgerlisten;Flemming Hallen, Esbjerg;19
2. Esbjerg Rådhus;F;SF - Socialistisk Folkeparti;Listestemmer;102
