Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
5051. Bredebro;A;Socialdemokratiet;Listestemmer;298
5051. Bredebro;A;Socialdemokratiet;Peter Friedrich Christensen;50
5051. Bredebro;A;Socialdemokratiet;Eike Schmidt Albrechtsen;0
5051. Bredebro;A;Socialdemokratiet;Henrik Mehlsen;0
5051. Bredebro;A;Socialdemokratiet;Frede Jensen;0
5051. Bredebro;A;Socialdemokratiet;Ib Lindegaard Nielsen;128
5051. Bredebro;A;Socialdemokratiet;Povl Ravnborg Thude;0
5051. Bredebro;A;Socialdemokratiet;Søren Ebbesen Skov;2
5051. Bredebro;A;Socialdemokratiet;Thyra Lange Wraae;3
5051. Bredebro;A;Socialdemokratiet;Kim Printz Ringbæk;0
5051. Bredebro;A;Socialdemokratiet;Arne Thomsen;0
5051. Bredebro;A;Socialdemokratiet;Gunnar Jensen;11
5051. Bredebro;A;Socialdemokratiet;Kirsten Friis Christensen;2
5051. Bredebro;A;Socialdemokratiet;Rita Hansen;4
5051. Bredebro;A;Socialdemokratiet;Johan Kristensen;0
5051. Bredebro;A;Socialdemokratiet;Svend Erik Mathiesen;0
5051. Bredebro;A;Socialdemokratiet;Niels Tuk Andreasen;1
5051. Bredebro;A;Socialdemokratiet;Flemming Andresen Gjelstrup;51
5051. Bredebro;A;Socialdemokratiet;Bodil Marie Møller;0
5051. Bredebro;A;Socialdemokratiet;Jens Nissen;0
5051. Bredebro;A;Socialdemokratiet;Jørn Rieks;0
5051. Bredebro;A;Socialdemokratiet;Torben Struck;0
5051. Bredebro;A;Socialdemokratiet;Edel Marcussen Skriver;1
5051. Bredebro;A;Socialdemokratiet;Bert Schultz;0
5051. Bredebro;A;Socialdemokratiet;Vagn Schmidt;0
5051. Bredebro;A;Socialdemokratiet;Hans Nielsen;4
5051. Bredebro;A;Socialdemokratiet;Jan Salskov;0
5051. Bredebro;A;Socialdemokratiet;Søren Sørensen;0
5051. Bredebro;A;Socialdemokratiet;Heine Andersen;0
5051. Bredebro;A;Socialdemokratiet;Finn Peter Hansen;0
5051. Bredebro;A;Socialdemokratiet;Henning Gad;0
5051. Bredebro;A;Socialdemokratiet;Jens Rasch;0
5051. Bredebro;A;Socialdemokratiet;Hans Kristian Nordestgaard;8
5051. Bredebro;B;Det Radikale Venstre;Listestemmer;6
5051. Bredebro;B;Det Radikale Venstre;Ole Jul Larsen;1
5051. Bredebro;B;Det Radikale Venstre;Søren Rask Jessen;0
5051. Bredebro;B;Det Radikale Venstre;Mette Nielsen;1
5051. Bredebro;B;Det Radikale Venstre;Rikke Larsen;0
5051. Bredebro;B;Det Radikale Venstre;Lone Møllgaard;4
5051. Bredebro;C;Det Konservative Folkeparti;Listestemmer;34
5051. Bredebro;C;Det Konservative Folkeparti;Henning Schmidt;14
5051. Bredebro;C;Det Konservative Folkeparti;Birthe Visby;4
5051. Bredebro;C;Det Konservative Folkeparti;Rudolf Jensen;1
5051. Bredebro;C;Det Konservative Folkeparti;Peter Iversen;1
5051. Bredebro;C;Det Konservative Folkeparti;Bent Rune Wigh;0
5051. Bredebro;C;Det Konservative Folkeparti;Søren Tornø Sørensen;1
5051. Bredebro;C;Det Konservative Folkeparti;Peter Maindal;1
5051. Bredebro;C;Det Konservative Folkeparti;Svend Sommerlund;0
5051. Bredebro;C;Det Konservative Folkeparti;Kurt Thorvald Gabs;2
5051. Bredebro;C;Det Konservative Folkeparti;Stefan Borg;3
5051. Bredebro;C;Det Konservative Folkeparti;Bo Hersbøll;0
5051. Bredebro;C;Det Konservative Folkeparti;Reimer Post;0
5051. Bredebro;C;Det Konservative Folkeparti;Børge Nielsen;0
5051. Bredebro;C;Det Konservative Folkeparti;Allan Poulsen;0
5051. Bredebro;C;Det Konservative Folkeparti;Hanne Madsen;0
5051. Bredebro;C;Det Konservative Folkeparti;Aage Vogt;0
5051. Bredebro;C;Det Konservative Folkeparti;Otto Diedrich Lück;3
5051. Bredebro;C;Det Konservative Folkeparti;Lars Bundgaard;0
5051. Bredebro;C;Det Konservative Folkeparti;Jens Elkjær Petersen;0
5051. Bredebro;C;Det Konservative Folkeparti;Oluf Moes Olesen;2
5051. Bredebro;C;Det Konservative Folkeparti;Tage Jensen;0
5051. Bredebro;F;Socialistisk Folkeparti;Listestemmer;5
5051. Bredebro;F;Socialistisk Folkeparti;Niels Malling;3
5051. Bredebro;F;Socialistisk Folkeparti;Henrik Jensen Møller;0
5051. Bredebro;F;Socialistisk Folkeparti;Christian Robert Hansen;0
5051. Bredebro;F;Socialistisk Folkeparti;Bent Gade Jensen;0
5051. Bredebro;F;Socialistisk Folkeparti;Susanne Clausen Køppen;0
5051. Bredebro;F;Socialistisk Folkeparti;Claus Johansen;0
5051. Bredebro;F;Socialistisk Folkeparti;Kurt Nielsen;0
5051. Bredebro;F;Socialistisk Folkeparti;Carsten Baggesgaard;0
5051. Bredebro;F;Socialistisk Folkeparti;Bent Peter Christensen;0
5051. Bredebro;K;Kristendemokraterne;Listestemmer;3
5051. Bredebro;K;Kristendemokraterne;Viggo Stidsen;1
5051. Bredebro;K;Kristendemokraterne;Paul Anton Martinussen;1
5051. Bredebro;K;Kristendemokraterne;Helle Bonde-Petersen;0
5051. Bredebro;K;Kristendemokraterne;Kaj Hansen;1
5051. Bredebro;K;Kristendemokraterne;Henning Brodersen Holm;0
5051. Bredebro;K;Kristendemokraterne;Gunnar Nørby;0
5051. Bredebro;K;Kristendemokraterne;Erik Bjørn Larsen;0
5051. Bredebro;K;Kristendemokraterne;Niels Clausen Christiansen;0
5051. Bredebro;K;Kristendemokraterne;Annie Norma Andersen;0
5051. Bredebro;L;Lokallisten;Listestemmer;20
5051. Bredebro;L;Lokallisten;Metha Birtha Andersen;1
5051. Bredebro;L;Lokallisten;Hanne Birthe Bøhnke;1
5051. Bredebro;L;Lokallisten;Hilmer Juhl Christensen;0
5051. Bredebro;L;Lokallisten;Kirsten Fuglsang Damm;1
