Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ejer Bavnehøj;A;Socialdemokratiet;Listestemmer;99
1. Ejer Bavnehøj;A;Socialdemokratiet;Jørgen Gaarde, Skanderborg;204
1. Ejer Bavnehøj;A;Socialdemokratiet;Finn Sander Jensen, Skovby;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Frands Fischer, Gl. Rye;8
1. Ejer Bavnehøj;A;Socialdemokratiet;Jørgen Naut, Hørning;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Charlotte Abildgaard Paulsen, Skb.;14
1. Ejer Bavnehøj;A;Socialdemokratiet;Søren Nielsen, Hørning;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Kai Høstrup, Ry;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Karen Lindemann, Galten;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Frank W. Damgaard, Stilling;27
1. Ejer Bavnehøj;A;Socialdemokratiet;Martin Christensen, Skanderborg;3
1. Ejer Bavnehøj;A;Socialdemokratiet;Jan Krogh, Skanderborg;6
1. Ejer Bavnehøj;A;Socialdemokratiet;Anders Skriver, Skanderborg;6
1. Ejer Bavnehøj;A;Socialdemokratiet;Peter Munk-Pedersen, Galten;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Lisbeth Højvang, Gl. Rye;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Malene Ringberg, Blegind;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Lene Magius Blume, Stilling;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Lars Lindencrone Lavridsen, Voerla;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Ole Drøgemüller, Galten;1
1. Ejer Bavnehøj;A;Socialdemokratiet;Allan Vinjegaard, Skanderborg;0
1. Ejer Bavnehøj;A;Socialdemokratiet;Mohammed Haji Rashed, Skanderborg;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Trine Frengler, Herskind;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Martin Dybdahl Andersen, Skb.;2
1. Ejer Bavnehøj;A;Socialdemokratiet;Torben Møller, Virring;0
1. Ejer Bavnehøj;B;Radikale Venstre;Listestemmer;7
1. Ejer Bavnehøj;B;Radikale Venstre;Tage Nielsen, Galten;6
1. Ejer Bavnehøj;B;Radikale Venstre;Anne Heeager, Skanderborg;12
1. Ejer Bavnehøj;B;Radikale Venstre;Emil Vogelius, Ry;4
1. Ejer Bavnehøj;B;Radikale Venstre;Anja Ellersgaard Basse, Hørning;0
1. Ejer Bavnehøj;B;Radikale Venstre;Susan Kronborg Nielsen, Skb;4
1. Ejer Bavnehøj;B;Radikale Venstre;Lærke Klitgaard, Ry;0
1. Ejer Bavnehøj;B;Radikale Venstre;Adele Davis Boe, Alken;1
1. Ejer Bavnehøj;B;Radikale Venstre;Katja Hillers, Ry;0
1. Ejer Bavnehøj;B;Radikale Venstre;Kurt Myhlert Olsen, Ry;1
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Listestemmer;6
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Thomas Cordtz, Ry;12
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Birgitte Majgaard, Galten;5
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Flemming Otto Jensen, Galten-Skovb;0
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Henning E. Andersen, Hørning;0
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Kurt Rønne,Skanderborg;7
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Lars Clausen,Tebstrup;47
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Otto Trap Hansen, Hørning;0
1. Ejer Bavnehøj;C;Det Konservative Folkeparti;Torben Wallner,Hørning;2
1. Ejer Bavnehøj;D;Nye Borgerlige;Listestemmer;3
1. Ejer Bavnehøj;D;Nye Borgerlige;Steffen Møller Pedersen;2
1. Ejer Bavnehøj;D;Nye Borgerlige;Claus Beyer;0
1. Ejer Bavnehøj;D;Nye Borgerlige;Malene Andersen;1
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Listestemmer;18
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Claus Leick;8
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Jens Sønderskov;167
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Søs Elmstrøm;9
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Ole Juhl Jeppesen;17
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Elisabeth Morsing;2
1. Ejer Bavnehøj;F;SF - Socialistisk Folkeparti;Charlotte Vindeløv;8
1. Ejer Bavnehøj;G;Sammenholdet;Listestemmer;0
1. Ejer Bavnehøj;G;Sammenholdet;Gert Bo Jensen, Ry;1
1. Ejer Bavnehøj;I;Liberal Alliance;Listestemmer;13
1. Ejer Bavnehøj;I;Liberal Alliance;Linda Andrea, Brørup;25
1. Ejer Bavnehøj;I;Liberal Alliance;Per Laursen,Skovby-Galten;1
1. Ejer Bavnehøj;I;Liberal Alliance;Keld Thykjær, Hørning;0
1. Ejer Bavnehøj;I;Liberal Alliance;Michael Valentin Ilsø, Hørning;3
1. Ejer Bavnehøj;I;Liberal Alliance;Lone Eskerod, Sjelle;0
1. Ejer Bavnehøj;I;Liberal Alliance;Brian Ladefoged, Virring;1
1. Ejer Bavnehøj;I;Liberal Alliance;Thomas Nordahl Madsen, Skanderborg;3
1. Ejer Bavnehøj;I;Liberal Alliance;Erik Eskerod, Sjelle;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Listestemmer;60
1. Ejer Bavnehøj;O;Dansk Folkeparti;Martin Frausing Poulsen, Skb.;22
1. Ejer Bavnehøj;O;Dansk Folkeparti;John Haarup Laursen, Stjær;2
1. Ejer Bavnehøj;O;Dansk Folkeparti;Daniel Aage Holm, Ry;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Ole Jensen, Skanderborg;10
1. Ejer Bavnehøj;O;Dansk Folkeparti;Jonna Frausing Poulsen, Skb.;14
1. Ejer Bavnehøj;O;Dansk Folkeparti;Kjeld Jensen, Hørning;3
1. Ejer Bavnehøj;O;Dansk Folkeparti;Jess Olesen, Skanderborg;3
1. Ejer Bavnehøj;O;Dansk Folkeparti;Freddy Giebel, Galten;1
1. Ejer Bavnehøj;O;Dansk Folkeparti;Poul Melgaard Johansen, Låsby;0
1. Ejer Bavnehøj;O;Dansk Folkeparti;Eigil Frederiksen, Hørning;0
