Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Viborg Vestkredsen,1. Frederiks,Partiliste,Socialdemokratiet,312
Viborg Vestkredsen,1. Frederiks,Karin Gaardsted,Socialdemokratiet,138
Viborg Vestkredsen,1. Frederiks,Anders Andreasen,Socialdemokratiet,4
Viborg Vestkredsen,1. Frederiks,Lars Fibæk,Socialdemokratiet,2
Viborg Vestkredsen,1. Frederiks,Mogens Jensen,Socialdemokratiet,28
Viborg Vestkredsen,1. Frederiks,Thomas Jensen,Socialdemokratiet,5
Viborg Vestkredsen,1. Frederiks,Annette Lind,Socialdemokratiet,16
Viborg Vestkredsen,1. Frederiks,Tina Mortensen,Socialdemokratiet,2
Viborg Vestkredsen,1. Frederiks,Mette Nielsen,Socialdemokratiet,29
Viborg Vestkredsen,1. Frederiks,Anne Paulin,Socialdemokratiet,15
Viborg Vestkredsen,1. Frederiks,Peter Kempf Pedersen,Socialdemokratiet,0
Viborg Vestkredsen,1. Frederiks,Per Kamp Stefansen,Socialdemokratiet,0
Viborg Vestkredsen,1. Frederiks,Partiliste,Radikale Venstre,13
Viborg Vestkredsen,1. Frederiks,Kathrine Olldag,Radikale Venstre,4
Viborg Vestkredsen,1. Frederiks,Josefine Schlosser,Radikale Venstre,0
Viborg Vestkredsen,1. Frederiks,Johan Brødsgaard,Radikale Venstre,2
Viborg Vestkredsen,1. Frederiks,Michael Flarup,Radikale Venstre,1
Viborg Vestkredsen,1. Frederiks,Signe Driefer,Radikale Venstre,1
Viborg Vestkredsen,1. Frederiks,Keld Marstrand Wang,Radikale Venstre,1
Viborg Vestkredsen,1. Frederiks,Partiliste,Det Konservative Folkeparti,27
Viborg Vestkredsen,1. Frederiks,Søren Pape Poulsen,Det Konservative Folkeparti,172
Viborg Vestkredsen,1. Frederiks,Lise Bertelsen,Det Konservative Folkeparti,21
Viborg Vestkredsen,1. Frederiks,Mogens Birkelund,Det Konservative Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Ole Gade,Det Konservative Folkeparti,2
Viborg Vestkredsen,1. Frederiks,Bitten Kvist Jakobsen,Det Konservative Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Siff Tang Lassen,Det Konservative Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Michael Norup,Det Konservative Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Lennart Qvist,Det Konservative Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Dina Raabjerg,Det Konservative Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Trine Trærup Roungkvist,Det Konservative Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Gitte Willumsen,Det Konservative Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Partiliste,Nye Borgerlige,65
Viborg Vestkredsen,1. Frederiks,Mogens Aaby,Nye Borgerlige,13
Viborg Vestkredsen,1. Frederiks,Allan Berg,Nye Borgerlige,2
Viborg Vestkredsen,1. Frederiks,Knud Nielsen,Nye Borgerlige,3
Viborg Vestkredsen,1. Frederiks,Hans Rytter,Nye Borgerlige,0
Viborg Vestkredsen,1. Frederiks,Tenna Røberg,Nye Borgerlige,9
Viborg Vestkredsen,1. Frederiks,Partiliste,SF - Socialistisk Folkeparti,46
Viborg Vestkredsen,1. Frederiks,Signe Munk,SF - Socialistisk Folkeparti,53
Viborg Vestkredsen,1. Frederiks,Karsten Filsø,SF - Socialistisk Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Bente Refslund,SF - Socialistisk Folkeparti,2
Viborg Vestkredsen,1. Frederiks,Meritta Bjerregaard,SF - Socialistisk Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Anders Bøge,SF - Socialistisk Folkeparti,3
Viborg Vestkredsen,1. Frederiks,Niels Kristian Larsen,SF - Socialistisk Folkeparti,3
Viborg Vestkredsen,1. Frederiks,Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Partiliste,Liberal Alliance,87
Viborg Vestkredsen,1. Frederiks,Carsten Bach,Liberal Alliance,4
Viborg Vestkredsen,1. Frederiks,Lene Foged,Liberal Alliance,10
Viborg Vestkredsen,1. Frederiks,Ragnar Dixen,Liberal Alliance,0
Viborg Vestkredsen,1. Frederiks,Frederik Jacobsen,Liberal Alliance,1
Viborg Vestkredsen,1. Frederiks,Svend Stein Olsen,Liberal Alliance,2
Viborg Vestkredsen,1. Frederiks,Kennet R. Kolby,Liberal Alliance,0
Viborg Vestkredsen,1. Frederiks,Steffen Troldtoft,Liberal Alliance,0
Viborg Vestkredsen,1. Frederiks,Mikkel Rentzø,Liberal Alliance,0
Viborg Vestkredsen,1. Frederiks,Thorbjørn Jacobsen,Liberal Alliance,1
Viborg Vestkredsen,1. Frederiks,Helle Jensen,Liberal Alliance,1
Viborg Vestkredsen,1. Frederiks,Partiliste,KD - Kristendemokraterne,2
Viborg Vestkredsen,1. Frederiks,Marianne Karlsmose,KD - Kristendemokraterne,9
Viborg Vestkredsen,1. Frederiks,Per Asp,KD - Kristendemokraterne,3
Viborg Vestkredsen,1. Frederiks,Jens Kr. Mølby Nielsen,KD - Kristendemokraterne,0
Viborg Vestkredsen,1. Frederiks,Jonas Røjkjær Laustsen,KD - Kristendemokraterne,0
Viborg Vestkredsen,1. Frederiks,Marcus Sommerbirk,KD - Kristendemokraterne,0
Viborg Vestkredsen,1. Frederiks,Steffen Markussen,KD - Kristendemokraterne,0
Viborg Vestkredsen,1. Frederiks,Inge Jensen,KD - Kristendemokraterne,1
Viborg Vestkredsen,1. Frederiks,Børge Rostgaard Winkel,KD - Kristendemokraterne,0
Viborg Vestkredsen,1. Frederiks,Karen-Margrethe Lysholm,KD - Kristendemokraterne,2
Viborg Vestkredsen,1. Frederiks,Partiliste,Moderaterne,83
Viborg Vestkredsen,1. Frederiks,Jeppe Søe,Moderaterne,12
Viborg Vestkredsen,1. Frederiks,Nikolaj Gam-Pedersen,Moderaterne,6
Viborg Vestkredsen,1. Frederiks,Freya Luna Andersen,Moderaterne,5
Viborg Vestkredsen,1. Frederiks,Partiliste,Dansk Folkeparti,30
Viborg Vestkredsen,1. Frederiks,Lone Langballe,Dansk Folkeparti,13
Viborg Vestkredsen,1. Frederiks,Majbritt Birkholm,Dansk Folkeparti,8
Viborg Vestkredsen,1. Frederiks,Mikael Jensen,Dansk Folkeparti,0
Viborg Vestkredsen,1. Frederiks,Jakob Kjærsgaard,Dansk Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Erling Præstekjær,Dansk Folkeparti,1
Viborg Vestkredsen,1. Frederiks,Kuno F. Danielsen,Dansk Folkeparti,3
Viborg Vestkredsen,1. Frederiks,Partiliste,Frie Grønne,2
Viborg Vestkredsen,1. Frederiks,Rishi Balachandran,Frie Grønne,1
Viborg Vestkredsen,1. Frederiks,Ida Lund-Larsen,Frie Grønne,0
Viborg Vestkredsen,1. Frederiks,Partiliste,"Venstre, Danmarks Liberale Parti",82
Viborg Vestkredsen,1. Frederiks,Lone Kastberg,"Venstre, Danmarks Liberale Parti",9
Viborg Vestkredsen,1. Frederiks,Ib Bjerregaard,"Venstre, Danmarks Liberale Parti",12
Viborg Vestkredsen,1. Frederiks,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",26
Viborg Vestkredsen,1. Frederiks,Ulrich Fredberg,"Venstre, Danmarks Liberale Parti",6
Viborg Vestkredsen,1. Frederiks,Mads Fuglede,"Venstre, Danmarks Liberale Parti",6
Viborg Vestkredsen,1. Frederiks,Søren Gade,"Venstre, Danmarks Liberale Parti",91
Viborg Vestkredsen,1. Frederiks,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",6
Viborg Vestkredsen,1. Frederiks,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",76
Viborg Vestkredsen,1. Frederiks,Jarl Matthiesen,"Venstre, Danmarks Liberale Parti",0
Viborg Vestkredsen,1. Frederiks,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",2
Viborg Vestkredsen,1. Frederiks,Jacob Vestergaard,"Venstre, Danmarks Liberale Parti",2
Viborg Vestkredsen,1. Frederiks,Partiliste,Danmarksdemokraterne,220
Viborg Vestkredsen,1. Frederiks,Morten Vehl,Danmarksdemokraterne,20
Viborg Vestkredsen,1. Frederiks,Dennis Flydtkjær,Danmarksdemokraterne,33
Viborg Vestkredsen,1. Frederiks,Vivi Altenburg,Danmarksdemokraterne,12
Viborg Vestkredsen,1. Frederiks,Betina Kastbjerg,Danmarksdemokraterne,8
Viborg Vestkredsen,1. Frederiks,Partiliste,Enhedslisten - De Rød-Grønne,21
Viborg Vestkredsen,1. Frederiks,Maria Temponeras,Enhedslisten - De Rød-Grønne,4
Viborg Vestkredsen,1. Frederiks,Charlotte Lindberg,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Christian I. Jacobsen,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Per Møller Jacobsen,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,1
Viborg Vestkredsen,1. Frederiks,Peter Sig Kristensen,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Frederik Madsen,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Sabrina Christiansen Broch,Enhedslisten - De Rød-Grønne,2
Viborg Vestkredsen,1. Frederiks,Lars Dohn,Enhedslisten - De Rød-Grønne,0
Viborg Vestkredsen,1. Frederiks,Partiliste,Alternativet,17
Viborg Vestkredsen,1. Frederiks,Stine Isaksen,Alternativet,3
Viborg Vestkredsen,1. Frederiks,H.C. Molbech,Alternativet,0
Viborg Vestkredsen,1. Frederiks,Didde Krabbe Johannesen,Alternativet,1
Viborg Vestkredsen,1. Frederiks,Dorte Fløjgaard,Alternativet,1
Viborg Vestkredsen,1. Frederiks,Kirsten Hindbo,Alternativet,0
Viborg Vestkredsen,1. Frederiks,Jørn Grønkjær,Alternativet,0
Viborg Vestkredsen,1. Frederiks,Rasmus Foged,Alternativet,0
Viborg Vestkredsen,1. Frederiks,Lars Holstein,Alternativet,0
Viborg Vestkredsen,1. Frederiks,Karen Predbjørn Klarbæk,(Uden for parti),1
Viborg Vestkredsen,2. Hald Ege,Partiliste,Socialdemokratiet,337
Viborg Vestkredsen,2. Hald Ege,Karin Gaardsted,Socialdemokratiet,66
Viborg Vestkredsen,2. Hald Ege,Anders Andreasen,Socialdemokratiet,8
Viborg Vestkredsen,2. Hald Ege,Lars Fibæk,Socialdemokratiet,2
Viborg Vestkredsen,2. Hald Ege,Mogens Jensen,Socialdemokratiet,36
Viborg Vestkredsen,2. Hald Ege,Thomas Jensen,Socialdemokratiet,1
Viborg Vestkredsen,2. Hald Ege,Annette Lind,Socialdemokratiet,8
Viborg Vestkredsen,2. Hald Ege,Tina Mortensen,Socialdemokratiet,4
Viborg Vestkredsen,2. Hald Ege,Mette Nielsen,Socialdemokratiet,17
Viborg Vestkredsen,2. Hald Ege,Anne Paulin,Socialdemokratiet,31
Viborg Vestkredsen,2. Hald Ege,Peter Kempf Pedersen,Socialdemokratiet,0
Viborg Vestkredsen,2. Hald Ege,Per Kamp Stefansen,Socialdemokratiet,1
Viborg Vestkredsen,2. Hald Ege,Partiliste,Radikale Venstre,35
Viborg Vestkredsen,2. Hald Ege,Kathrine Olldag,Radikale Venstre,17
Viborg Vestkredsen,2. Hald Ege,Josefine Schlosser,Radikale Venstre,6
Viborg Vestkredsen,2. Hald Ege,Johan Brødsgaard,Radikale Venstre,5
Viborg Vestkredsen,2. Hald Ege,Michael Flarup,Radikale Venstre,3
Viborg Vestkredsen,2. Hald Ege,Signe Driefer,Radikale Venstre,2
Viborg Vestkredsen,2. Hald Ege,Keld Marstrand Wang,Radikale Venstre,0
Viborg Vestkredsen,2. Hald Ege,Partiliste,Det Konservative Folkeparti,39
Viborg Vestkredsen,2. Hald Ege,Søren Pape Poulsen,Det Konservative Folkeparti,228
Viborg Vestkredsen,2. Hald Ege,Lise Bertelsen,Det Konservative Folkeparti,61
Viborg Vestkredsen,2. Hald Ege,Mogens Birkelund,Det Konservative Folkeparti,1
Viborg Vestkredsen,2. Hald Ege,Ole Gade,Det Konservative Folkeparti,0
Viborg Vestkredsen,2. Hald Ege,Bitten Kvist Jakobsen,Det Konservative Folkeparti,0
Viborg Vestkredsen,2. Hald Ege,Siff Tang Lassen,Det Konservative Folkeparti,1
Viborg Vestkredsen,2. Hald Ege,Michael Norup,Det Konservative Folkeparti,2
Viborg Vestkredsen,2. Hald Ege,Lennart Qvist,Det Konservative Folkeparti,2
Viborg Vestkredsen,2. Hald Ege,Dina Raabjerg,Det Konservative Folkeparti,5
Viborg Vestkredsen,2. Hald Ege,Trine Trærup Roungkvist,Det Konservative Folkeparti,0
Viborg Vestkredsen,2. Hald Ege,Gitte Willumsen,Det Konservative Folkeparti,2
Viborg Vestkredsen,2. Hald Ege,Partiliste,Nye Borgerlige,39
Viborg Vestkredsen,2. Hald Ege,Mogens Aaby,Nye Borgerlige,7
Viborg Vestkredsen,2. Hald Ege,Allan Berg,Nye Borgerlige,1
Viborg Vestkredsen,2. Hald Ege,Knud Nielsen,Nye Borgerlige,3
Viborg Vestkredsen,2. Hald Ege,Hans Rytter,Nye Borgerlige,2
Viborg Vestkredsen,2. Hald Ege,Tenna Røberg,Nye Borgerlige,1
Viborg Vestkredsen,2. Hald Ege,Partiliste,SF - Socialistisk Folkeparti,83
Viborg Vestkredsen,2. Hald Ege,Signe Munk,SF - Socialistisk Folkeparti,185
Viborg Vestkredsen,2. Hald Ege,Karsten Filsø,SF - Socialistisk Folkeparti,3
