Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Brejning Syd;A;Socialdemokratiet;Listestemmer;109
1. Brejning Syd;A;Socialdemokratiet;Martin Sikær;125
1. Brejning Syd;A;Socialdemokratiet;Anne Sofie Stjernholm;37
1. Brejning Syd;A;Socialdemokratiet;Alex Vejby Nielsen;48
1. Brejning Syd;A;Socialdemokratiet;Lena Holm Olsen;9
1. Brejning Syd;A;Socialdemokratiet;Søren Peschardt;16
1. Brejning Syd;A;Socialdemokratiet;Birgitte Grejsen;1
1. Brejning Syd;A;Socialdemokratiet;Martin Jensen;9
1. Brejning Syd;A;Socialdemokratiet;Morten Skovlund;8
1. Brejning Syd;A;Socialdemokratiet;Frederik Halkjær;7
1. Brejning Syd;A;Socialdemokratiet;Johnny Beck;6
1. Brejning Syd;A;Socialdemokratiet;Erik Børsting;2
1. Brejning Syd;A;Socialdemokratiet;Lisbeth Gaardhøj;6
1. Brejning Syd;A;Socialdemokratiet;Azra Hasanbegovic;3
1. Brejning Syd;A;Socialdemokratiet;Henrik Juhl Kristensen;35
1. Brejning Syd;A;Socialdemokratiet;Yasser Rady;1
1. Brejning Syd;A;Socialdemokratiet;Kirsten Paugan;3
1. Brejning Syd;A;Socialdemokratiet;Diane Amstrup;6
1. Brejning Syd;A;Socialdemokratiet;Casper Overgaard;1
1. Brejning Syd;A;Socialdemokratiet;Mette Ejby Pallesen;5
1. Brejning Syd;A;Socialdemokratiet;Torben Schiermer;23
1. Brejning Syd;A;Socialdemokratiet;Lene Thiemer Hedegaard;1
1. Brejning Syd;A;Socialdemokratiet;Grethe Lykke Knudsen;2
1. Brejning Syd;A;Socialdemokratiet;Arne Poulstrup;0
1. Brejning Syd;A;Socialdemokratiet;Markus Bischoff;1
1. Brejning Syd;A;Socialdemokratiet;Janus Høyrup Bach-Nielsen;1
1. Brejning Syd;B;Radikale Venstre;Listestemmer;22
1. Brejning Syd;B;Radikale Venstre;Claus Behrendsen, Vejle Ø;13
1. Brejning Syd;B;Radikale Venstre;Marianne Scheele, Jerlev;1
1. Brejning Syd;B;Radikale Venstre;Johnny Pedersen, Hornstrup;0
1. Brejning Syd;B;Radikale Venstre;Jens Ove Holmegaard, Smidstrup;7
1. Brejning Syd;B;Radikale Venstre;Claus Bjørn Madsen, Vejle;2
1. Brejning Syd;B;Radikale Venstre;Rasmus Rold Meldgaard, Vejle;1
1. Brejning Syd;B;Radikale Venstre;Lars Schubert, Uhrhøj;4
1. Brejning Syd;B;Radikale Venstre;Ole Lynggaard Jørgensen, Vejle;3
1. Brejning Syd;C;Det Konservative Folkeparti;Listestemmer;22
1. Brejning Syd;C;Det Konservative Folkeparti;Dan Arnløv, Vejle;14
1. Brejning Syd;C;Det Konservative Folkeparti;Amalie Thomsen, Vejle;33
1. Brejning Syd;C;Det Konservative Folkeparti;Per Munk Laustsen, Vejle;1
1. Brejning Syd;C;Det Konservative Folkeparti;Gitte Eriksen, Vejle;3
1. Brejning Syd;C;Det Konservative Folkeparti;Bruno Søndersø Jensen, Give;1
1. Brejning Syd;C;Det Konservative Folkeparti;Jan Bredvig, Vejle;0
1. Brejning Syd;C;Det Konservative Folkeparti;Preben Steen, Børkop;6
1. Brejning Syd;C;Det Konservative Folkeparti;Henrik Sandholm, Egtved;0
1. Brejning Syd;C;Det Konservative Folkeparti;Dorte R. Pannicke, Børkop;80
1. Brejning Syd;C;Det Konservative Folkeparti;Tim Eskesen, Vejle Ø;0
1. Brejning Syd;C;Det Konservative Folkeparti;Jens Erik Høj-Pedersen, Børkop;4
1. Brejning Syd;C;Det Konservative Folkeparti;Nikki Mandal Hauge, Gadbjerg;3
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Listestemmer;84
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Tage Jørgensen;61
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Sara Bek;45
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Lars Charlie Mortensen;15
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Britta Bitsch;9
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Anette S. Nielsen;10
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Mustapha El-Ahmad;5
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Trine Gaarde Dahlberg;5
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Ricky Roy Nielsen;1
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Allan Pedersen;3
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Brian Bruhn;0
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Dan Ullerup;1
1. Brejning Syd;F;SF - Socialistisk Folkeparti;Maiken Juul Pedersen;7
1. Brejning Syd;I;Liberal Alliance;Listestemmer;29
1. Brejning Syd;I;Liberal Alliance;Kenneth Ettrup Hansen;12
1. Brejning Syd;I;Liberal Alliance;Christian Fini;6
1. Brejning Syd;I;Liberal Alliance;Ian Møller Borup;2
1. Brejning Syd;I;Liberal Alliance;Kasper Lindholm;5
1. Brejning Syd;K;Kristendemokraterne;Listestemmer;1
1. Brejning Syd;K;Kristendemokraterne;Michael Lund Markussen, Brejning;13
1. Brejning Syd;K;Kristendemokraterne;Knud Hauge, Vejle;0
1. Brejning Syd;K;Kristendemokraterne;Christophe Ndikuriyo, Vejle;2
1. Brejning Syd;K;Kristendemokraterne;Tage Sørensen, Give;0
1. Brejning Syd;M;Moderaterne;Listestemmer;10
1. Brejning Syd;M;Moderaterne;Bent Olsen, Vejle Øst;9
1. Brejning Syd;M;Moderaterne;Kit Kielstrup, Børkop;23
1. Brejning Syd;M;Moderaterne;Andreas Simonsen Sinding, Vejle;2
1. Brejning Syd;M;Moderaterne;Allan Sørensen, Nørremarken;3
1. Brejning Syd;M;Moderaterne;Bjarne Andersen, Børkop;28
1. Brejning Syd;M;Moderaterne;Bjarne Block, Egtved;0
1. Brejning Syd;M;Moderaterne;Masoud Watandost, Vejle;2
1. Brejning Syd;O;Dansk Folkeparti;Listestemmer;50
1. Brejning Syd;O;Dansk Folkeparti;Rune Bønnelykke;28
1. Brejning Syd;O;Dansk Folkeparti;Brian Øhrstrøm Hansen;3
